,id_marca,nombre
0,1,campomar
1,2,capicua
2,3,coosol
3,4,cexasol
4,5,koipe
5,6,la espanola
6,7,la masia
7,8,ondosol
8,9,alcampo
9,10,ucasol
10,11,mueloliva
11,12,borges
12,13,carbonell
13,14,coosur
14,15,el lagar del soto
15,16,el molino d gines
16,17,fruto del sur
17,18,germanor
18,19,giralda
19,20,guillen
20,21,iznaoliva
21,22,arguinano
22,23,maestros de hojiblanca
23,24,mar de olivos
24,25,marques de grinon
25,26,monegros
26,27,oleaurum
27,28,sierra de cazorla
28,29,oleoestepa
29,30,rio
30,31,olivar de segura
31,32,olivo de cambil
32,33,ondoliva
33,34,oro aragon
34,35,oro virgen
35,36,pano
36,37,saeta
37,38,suroliva
38,39,valdezarza
39,40,verde segura
40,41,ybarra
41,42,auchan
42,43,celta
43,44,asturiana
44,45,kaiku
45,46,lr
46,47,la colmenarena
47,48,laban
48,49,lar
49,50,lauki
50,51,mntbelle
51,52,pascual
52,53,president
53,54,priegola
54,55,puleva
55,56,santa gadea
56,57,tierra de sabor
57,58,carrefour
58,59,fontasol
59,60,ozolife
60,61,abaco
61,62,aromas del sur
62,63,natursoy
63,64,dcoop
64,65,oro bailen
65,66,capricho andaluz
66,67,de nuestra tierra
67,68,oro de genave
68,69,nunez de prado
69,70,retama
70,71,maeva
71,73,lorea
72,74,consorcio
73,75,ram
74,76,santa teresa
75,77,nivea
76,78,flora
77,79,ecran
78,80,naturgreen
79,81,nestle
80,82,mustela
81,83,babaria
82,84,babybio
83,85,cantero de letur
84,86,blemil
85,87,hipp
86,88,saha
87,89,el buen pastor
88,90,danone
89,91,noe
90,92,denenes
91,93,almiron
92,94,covap
93,95,delial
94,96,diasol
95,97,la almazara del olivar
96,98,hojiblanca
97,99,jaencoop
98,100,dia lactea
99,101,ideal
100,102,eroski
101,103,borgesol
102,104,lanisol
103,105,urzante
104,106,olilan
105,107,palacio de los olivos
106,108,arronizarbe
107,109,carapelli
108,110,cazorliva
109,111,oro de genabe
110,112,duernas
111,113,arrolan
112,114,mendia
113,115,saqura
114,116,mil olivas
115,117,o de la ribera
116,118,trujal tudela
117,119,guzman
118,120,elizondo
119,121,ultzama
120,122,beyena
121,123,bomilk
122,124,euskal herria
123,125,lacturale
124,126,bizkaia
125,127,sveltesse
126,128,lactebal
127,129,gaza
128,130,abril
129,131,el corte ingles
130,132,elosol
131,133,primer dia de cosecha
132,134,picual casa juncal
133,135,aceites de ardales
134,136,agus
135,137,alhema de queiles
136,138,aljibes
137,139,almaoliva
138,140,amarga y pica
139,141,arboleda
140,142,campo rico
141,143,casas de hualdo
142,144,castillo de canena
143,145,changlot
144,146,conde de benalua
145,147,dominus
146,148,duc
147,149,dulcesol
148,150,ester sole
149,151,ferrarini
150,152,finca penamoucho
151,153,flor de arana
152,154,fuenroble
153,155,go vegg
154,156,hacienda el palo
155,157,jacoliva
156,158,lestornell
157,159,la almazara de canjayar
158,160,la boella
159,161,la laguna de fuente de piedra
160,162,la organic
161,163,la redonda
162,164,merula
163,165,ato
164,166,miro
165,167,molino de olivas de bolea
166,168,oleodiel
167,169,olibeas
168,170,oliva verde
169,171,olivar del sur
170,172,pago baldios san carlos
171,173,pan de olivo
172,174,parqueoliva
173,175,picualia
174,176,reales almazaras de alcaniz
175,177,romanico
176,178,santiveri
177,179,somontano
178,180,surinver
179,181,torremilano
180,182,tresces
181,183,unio
182,184,valroble
183,185,venta del baron
184,186,altamira
185,187,clesa
186,188,ecomil
187,189,el castillo
188,190,feiraco
189,191,la yerbera
190,192,letona
191,193,leyma
192,194,lilibet
193,195,llet nostra
194,196,lletera campllong
195,197,madriz
196,198,unicla
197,199,valles unidos
198,200,villacorona
199,201,hacendado
